--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
--------------------------------------------------------------------------------------------------------------$> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
_autorebase                                         001007-1                         OK
a2ps                                                4.14-3                           OK
aalib-devel                                         1.4rc5-12                        OK
adwaita-icon-theme                                  3.24.0-1                         OK
algol68g                                            2.7-0                            OK
alternatives                                        1.3.30c-10                       OK
anjuta                                              3.22.0-2                         OK
appdata-tools                                       0.7.4-1                          OK
appstream                                           0.11.7-1                         OK
appstream-builder                                   0.7.4-1                          OK
appstream-glib                                      0.7.4-1                          OK
ascii                                               3.15-1                           OK
asciidoc                                            8.6.9-1                          OK
astyle                                              2.06-1                           OK
at-spi2-core                                        2.24.1-1                         OK
attr                                                2.4.46-1                         OK
autobuild                                           5.3-1                            OK
autoconf                                            13-1                             OK
autoconf-archive                                    2017.09.28-1                     OK
autoconf2.1                                         2.13-12                          OK
autoconf2.5                                         2.69-3                           OK
autogen                                             5.18.12-1                        OK
automake                                            10-1                             OK
automake1.10                                        1.10.3-3                         OK
automake1.11                                        1.11.6-3                         OK
automake1.12                                        1.12.6-3                         OK
automake1.13                                        1.13.4-2                         OK
automake1.14                                        1.14.1-3                         OK
automake1.15                                        1.15.1-1                         OK
automake1.4                                         1.4p6-11                         OK
automake1.5                                         1.5-11                           OK
automake1.6                                         1.6.3-12                         OK
automake1.7                                         1.7.9-11                         OK
automake1.8                                         1.8.5-11                         OK
automake1.9                                         1.9.6-11                         OK
automoc4                                            0.9.88-10                        OK
autossh                                             1.4e-1                           OK
base-cygwin                                         3.8-1                            OK
base-files                                          4.2-4                            OK
bash                                                4.4.12-3                         OK
bash-completion                                     2.7-1                            OK
bash-completion-devel                               2.7-1                            OK
bashdb                                              3.1_0.09-1                       OK
bc                                                  1.06.95-2                        OK
bdftopcf                                            1.0.4-3                          OK
biber                                               2.10-1                           OK
binutils                                            2.29-1                           OK
bison                                               3.0.4-1                          OK
boost-build                                         1.64.0-1                         OK
boxes                                               1.0.1a-2                         OK
build-docbook-catalog                               1.5-2                            OK
buildbot-slave                                      0.8.12-1                         OK
buildbot-worker                                     0.9.13-1                         OK
byacc                                               20170430-1                       OK
bzip2                                               1.0.6-3                          OK
bzr                                                 2.7.0+bzr6622-1                  OK
bzr-fastimport                                      0.13.0-2                         OK
c-client                                            2007f-2                          OK
ca-certificates                                     2.16-1                           OK
calm                                                20180131-1                       OK
catgets                                             2.10.0-1                         OK
ccache                                              3.1.9-2                          OK
cccc                                                3.1.4-1                          OK
cdargs                                              1.35-2                           OK
cdrecord                                            1.1.11-1                         OK
cervisia                                            17.08.3-1                        OK
cfget                                               0.18-1                           OK
cfv                                                 1.18.3-1                         OK
cgdb                                                0.6.7+20170812+gitfa44c9a-1      OK
check                                               0.10.0-1                         OK
chere                                               1.4-1                            OK
chm2pdf                                             0.9.1-3                          OK
chmlib                                              0.40-1                           OK
clang                                               5.0.1-1                          OK
clang-analyzer                                      5.0.1-1                          OK
clisp                                               2.49-6.20150312hg15611           OK
cmake                                               3.6.2-1                          OK
cmake-doc                                           3.6.2-1                          OK
cmake-gui                                           3.6.2-1                          OK
cmark                                               0.28.3-1                         OK
cmark-devel                                         0.28.3-1                         OK
cocom                                               0.996-2                          OK
code2html                                           0.9.1-1                          OK
codeville                                           0.8.0-4                          OK
colordiff                                           1.0.9-1                          OK
colorgcc                                            1.3.2-2                          OK
compiler-rt                                         5.0.1-1                          OK
compositeproto                                      0.4.2-1                          OK
coreutils                                           8.26-2                           OK
cppi                                                1.18-2                           OK
cppunit                                             1.13.2-1                         OK
cron                                                4.1-65                           OK
crypt                                               2.1-1                            OK
cscope                                              15.8b-1                          OK
csih                                                0.9.9-1                          OK
ctags                                               5.8-1                            OK
ctpl                                                0.3.4-1                          OK
curl                                                7.56.1-1                         OK
cvs                                                 1.11.23-2                        OK
cvs2svn                                             2.4.0-1                          OK
cvsps                                               2.2b1-2                          OK
cvsutils                                            0.2.6-1                          OK
cygcheck-dep                                        2.1-1                            OK
cygport                                             0.30.1-1                         OK
cygrunsrv                                           1.62-1                           OK
cygutils                                            1.4.16-2                         OK
cygutils-extra                                      1.4.16-2                         OK
cygwin                                              2.10.0-1                         OK
cygwin-devel                                        2.10.0-1                         OK
